"sn","bi2","n_tested","n_positive","positivity","lon","lat"
21262,"1. Agugu",1,0,0,3.93190598487854,7.3774995803833
21263,"1. Agugu",3,1,0.333333333333333,3.93126893043518,7.37615728378296
21264,"1. Agugu",2,0,0,3.93404531478882,7.37687015533447
21265,"1. Agugu",1,0,0,3.93126893043518,7.37615728378296
21266,"1. Agugu",1,0,0,3.93384671211243,7.37667512893677
21267,"1. Agugu",1,0,0,3.93462014198303,7.37616395950317
21269,"1. Agugu",1,0,0,3.93359708786011,7.37641620635986
21273,"1. Agugu",4,0,0,3.93318009376526,7.37680912017822
21274,"1. Agugu",1,0,0,3.9330530166626,7.37684011459351
21275,"1. Agugu",5,0,0,3.93327808380127,7.37682676315308
21276,"1. Agugu",1,0,0,3.93126893043518,7.37649393081665
21277,"1. Agugu",1,0,0,3.93126893043518,7.37649393081665
21278,"1. Agugu",2,0,0,3.93287873268127,7.37713527679443
21279,"1. Agugu",1,0,0,3.93316793441772,7.37672901153564
21280,"1. Agugu",5,1,0.2,3.93063187599182,7.37515163421631
21281,"1. Agugu",3,0,0,3.92964911460876,7.37535619735718
21282,"1. Agugu",1,0,0,3.93031334877014,7.3771767616272
21283,"1. Agugu",1,0,0,3.92999458312988,7.37613487243652
21284,"1. Agugu",1,0,0,3.9338173866272,7.37613487243652
21285,"1. Agugu",1,0,0,3.93286180496216,7.38153600692749
21286,"1. Agugu",4,0,0,3.93031334877014,7.37515449523926
21287,"1. Agugu",3,1,0.333333333333333,3.93126893043518,7.37649393081665
21288,"1. Agugu",1,0,0,3.93386793136597,7.37636709213257
21289,"1. Agugu",1,0,0,3.93265199661255,7.37999296188354
21292,"1. Agugu",5,2,0.4,3.93512511253357,7.37608242034912
21294,"1. Agugu",2,0,0,3.93429088592529,7.37685060501099
21299,"1. Agugu",1,0,0,3.93483185768127,7.37596940994263
21300,"1. Agugu",4,1,0.25,3.93508672714233,7.37609148025513
21301,"1. Agugu",4,0,0,3.9345326423645,7.37652444839478
21302,"1. Agugu",15,0,0,3.93481302261353,7.37637805938721
21303,"1. Agugu",1,0,0,3.93479204177856,7.37633419036865
21304,"1. Agugu",4,1,0.25,3.9338173866272,7.37546062469482
21305,"1. Agugu",1,0,0,3.93031334877014,7.3771767616272
21306,"1. Agugu",1,0,0,3.93505954742432,7.37586069107056
21307,"1. Agugu",3,0,0,3.93520188331604,7.37604379653931
21308,"1. Agugu",4,1,0.25,3.93485307693481,7.37584495544434
21309,"1. Agugu",1,0,0,3.93604731559753,7.37439918518066
21310,"1. Agugu",4,0,0,3.93700313568115,7.37493658065796
21311,"1. Agugu",5,0,0,3.93470501899719,7.37562322616577
21312,"1. Agugu",1,0,0,3.934809923172,7.37557792663574
21313,"1. Agugu",1,0,0,3.93604731559753,7.37544107437134
21314,"1. Agugu",3,0,0,3.93474102020264,7.37638282775879
21315,"1. Agugu",2,0,0,3.93489193916321,7.3759503364563
21316,"1. Agugu",3,0,0,3.93465399742126,7.37542915344238
21317,"1. Agugu",3,2,0.666666666666667,3.93859601020813,7.37508201599121
21318,"1. Agugu",4,0,0,3.93126893043518,7.37649393081665
21319,"1. Agugu",1,0,0,3.93214392662048,7.37643051147461
21320,"1. Agugu",5,0,0,3.9338173866272,7.37546062469482
21321,"1. Agugu",2,1,0.5,3.93063187599182,7.37515163421631
21322,"1. Agugu",1,0,0,3.93318009376526,7.37838506698608
21323,"1. Agugu",2,0,0,3.9309504032135,7.37683391571045
21324,"1. Agugu",2,0,0,3.93063187599182,7.37515163421631
21325,"1. Agugu",4,0,0,3.93478107452393,7.37590885162354
21326,"1. Agugu",1,0,0,3.93031334877014,7.37481737136841
21327,"1. Agugu",1,0,0,3.93031334877014,7.37515449523926
21328,"1. Agugu",1,0,0,3.9338960647583,7.37511968612671
21329,"1. Agugu",5,0,0,3.93031334877014,7.37515449523926
21330,"1. Agugu",2,1,0.5,3.93031334877014,7.37515449523926
21331,"1. Agugu",1,1,1,3.93257832527161,7.38163375854492
21332,"1. Agugu",1,0,0,3.93380570411682,7.37822961807251
21334,"1. Agugu",3,0,0,3.93282699584961,7.37895011901855
21336,"1. Agugu",4,0,0,3.93349885940552,7.37849140167236
